key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
44,"傑拉爾德","辛諾芙","Greave","梅因弗里德","艾梅特","Langdale","居斯塔萬","莉西","Hourlinet","Handeloup","阿・維特","西・帕塔羅","Tia","Jesal","珀奇・阿","珀奇","Lanbatal","","","吉爾","雅雅","","泰","","魯特斯菲伊克","Fyrlihtsyn","哈特蓋姆","Fyrlihtwyn","坎德","Flame","Condor","胴割","棗","Maibito","真克思","阿剌格","Geneq","貝裡米爾","","米洛萬","Lunyasch","奧斯克","",""
45,"格博爾德","賽爾德莉","Greene","穆尼弗里德","艾恩娜","Lodall","吉德洛","洛阿娜","Hubairtin","Haurtefert","西・維特","瓦・拉雅恩","Tia","Kett","克嘉・阿","克嘉","Moshantu","","","吉因","耀耀","","托","","魯茲奇厄茲","Merlskyfsyn","希厄特蓋姆","Merlskyfwyn","泰瑞布爾","Smoke","Marmot","苗代","鳴海","Benitoki","思都兒古","阿闌","Horo","弗托拉克","","布拉斯加","Wirasch","特婭","",""
46,"戈斯頓","尤麗絲","Happer","萊文哈特","阿密娜","Lowe","阿德勒福","露西娜","Iseterre","Haustefort","碧・涅亞","克・雅爾薇恩","Tia","Lhea","克嘉・托","凱妮","Chelewae","","","","尤尤","","圖","","布蘭戴穆","Swyroegansyn","洛特厄蓋姆","Swyroeganwyn","勞德","Spear","Firefly","梅園","葉櫻","Mizuhiki","札嘎台","阿勒特","Himaa","亞羅波爾","","米爾科","Liorasch","烏娜","",""
47,"格維因","伍爾夫尤","Hill","里加特","阿普希德","Marshall","埃裡貝爾","露妮","Janlenoux","Hortefense","維・涅亞","克・碧瓦莉","Tia","Menh","塔拉・托","塔拉","Wolndara","","","","扎扎","","薇","","里特斯奇爾特","Maetironnsyn","梅爾蓋姆","Maetironnwyn","賽倫特","Herd","Hare","隼","花芽","Yumitori","札木哈","阿勒塔妮","Malaguld","達朗","","豪裡什","Svanasch","維珂塔","",""
48,"吉爾伯特","畢蒂","Hodder","約弗里德","艾西娜","Moore","艾爾姆諾","莉塞勒","Jantellot","Ignemortel","伊・菲爾","雅・恩布莉亞","Tia","Neneh","伊恩・爾","蕾","Wilzuun","","","","澤澤","","瓦","","里爾哈厄","Eynfoetsyn","奧方蓋姆","Eynfoetwyn","沙朵維","Brother","Dove","半作","雲雀","Yumishi","失拉蒙","阿勒敦","Urumet","巴任","","米倫科","Irryasch","米迪婭","",""
49,"哈爾斯坦","柏蕾雅","Holmes","蘭巴德","福爾德拉","Outlawe","奧諾蘭","馬埃娜","Jehantel","Imbertain","克・菲爾","伊・達奇亞","Tia","Petih","伊恩・沃","奧雅","Quowaital","","","","茲茲","","沃","","魯漢斯","Eynmoensyn","斯努蓋姆","Eynmoenwyn","斯利珀瑞","Cyclone","Orchid","飛雲","風蘭","Doshin","失勒該","阿侖","Qalli","布季米爾","","艾丁","","阿露埃特","",""
50,"休瑞","埃莉內德","Holt","赫羅德里克","蓋伊拉","Payne","於貝爾蒂安","馬爾塞特","Josseloux","Jandelaine","奧・騰沛","喬・阿塔諾","Tia","Rhel","伊恩・阿","伊恩","Jawantal","","","","","","雅","","斯酷恩裡希特","Zwynwyrstsyn","修緹爾蓋姆","Zwynwyrstwyn","佩森特","Tower","Moss","飛燕","牡丹","Jizutsu","速哥該","安格吉兒","Qestir","斯韋托扎爾","","沃伊諾米爾","","瓦倫丁","",""
51,"霍丁","艾莫妮","Hunt","赫羅德裡希","蓋勒","Pytte","於格蒙","馬爾熱琳","Lanquairt","Jeulerand","古・騰沛","烏・博瓦奇","Tia","Sheqa","雷爾・爾","蕾爾","Molkot","","","","","","悠","","修太爾胡恩德","Zeinkletsyn","斯恩迪爾維布","Zeinkletwyn","斯婁","Snake","Elm","百部","真琴","Musa","台都庫兒","孛奇","","濟斯加","","約夫","","維爾","",""
52,"漢弗萊","埃西爾特","Jeanne","赫羅多爾夫","蓋蕾恩","Quick","伊薩穆瓦","瑪麗奧特","Lanverlais","Juliembert","雅・維塔","奇・納爾奇","Tia","Tenbe","雷爾・拉","塞娜","Mhakaracca","","","","","","優","","斯太爾布羅達","Hyllingilsyn","斯維恩維布","Hyllingilwyn","寧博爾","Adder","Oak","風月","愛","Buhen","塔馬查哥","伯多","","赫爾沃耶","","達米爾","","皮亞內","",""
53,"約翰尼斯","芙蕾","Kirk","赫羅特馬爾","加希爾德","Rakes","伊索多雷爾","瑪麗埃勒","Larsonient","Lamberteint","喬・維塔","西・德娃卡","Tia","Vheo","雷爾・沃","扎海","Epocan","","","","","","潔","","斯恩迪爾溫德","Helbmannsyn","斯維爾德維布","Helbmannwyn","瓦伊茲","Cedar","Mahogany","覆土","真鶴","Tsuwamono","赤哥","孛兒特","","亞雷克","","戈斯蒂米爾","","索菲","",""
54,"喬納森","芬德蕾克","Lannis","赫爾德爾夫","吉塞拉","Rayne","伊沃洛","莫妮","Liautroix","Langloisiert","恩・澤特","奇・哈特亞","Tia","Wetae","密克・阿","奧奇","Nelhah","","","","","","佐","","斯沃茲維恩","Guldgarasyn","托爾維布","Guldgarawyn","達爾","Knife","Tree","圃場","金翅","Nagae","赤都胡兒","卡烏爾","","韋塞林","","武克","","埃蓮","",""
55,"喬瑟夫","格洛森","Leach","赫羅迪加","吉斯拉","Redd","雅克曼","梅莉西","Lionnellais","Lantonceins","赫・澤特","絲・拉克夏伊","Tia","Yelho","密克・托","密克","Amariyo","","","","","","茱","","西茲恩斯克夫","Drysfalksyn","圖古維布","Drysfalkwyn","陶爾","Hand","Sentinel","正土","鶚","Ritsuso","察合台","查碧","","瓦迪姆","","格拉迪米爾","","斯皮娜","",""
56,"肯納德","格洛梅德","Leatherby","赫羅德蘭德","格瑞德","Reeve","讓勒米","莫莉絲","Lothaire","Larsefauceais","阿・比恩","茶・瑪拉薇","Tia","Zhed","密克・利","奇彌","Gamduhla","","","","","","","","特辛伍爾德","Borgbyldasyn","拖夫維布","Borgbyldawyn","昂格瑞","Scythe","Meadow","群雲","水木","Tosho","察合幹","查古兒","","杜沙","","斯洛博丹","","賽爾尼德","",""
57,"克里奇","格蘭奈","Lee","雷姆菲恩","格裡希爾德","Rowntree","朗斯費爾","米安娜","Matigniant","Logedanrel","德・比恩","絲・卡爾卡雅","Tia","Zolwe","雷修・阿","蕾修","Chalahko","","","","","","","","特拉古希厄","Bleibornsyn","特拉哈維布","Bleibornwyn","海皮","Castle","Willow","元肥","三葉","Obinata","察納兒","查哈","","拉特米爾","","斯坦尼克","","布萊娜","",""
58,"基尼森","古恩森","Little","赫羅克","加伊艾爾","Royce","朗德雷內爾","內蘿爾","Mayeulons","Marcechamp","佩・因瓦","茶・朋達奧","Tia","Bihl","扎納・賽","扎納","Jakkya","","","","","","","","特拉格韋爾夫","Flekkbornsyn","溫塔維布","Flekkbornwyn","泰尼","Frost","Rose","藪鮫","峰","Tachikake","察拉哈","徹兒賓","","蘇蒂米爾","","羅斯季克","","賽迪拉","",""
59,"拉迪斯拉斯","古恩修","Mason","修維林","哈德維斯","Royle","萊奧代爾","妮米","Merthelin","Marinterre","嘉・因瓦","梅・克洛洛恩","Tia","Cirha","扎納・坦","茨海","Nbolo","","","","","","","","維姆特爾斌","Geissbornsyn","維姆維布","Geissbornwyn","瑪蒂斯特","Needle","Lily","湧水","伯勞","Tsurugi","查拉該","僑檀","","蒂霍米爾","","茲傑斯加","","珂尓迪雅","",""
60,"蘭伯特","伊爾卡姆","Meath","修維拉爾德","海吉裡娜","Rush","萊昂索","妮娜","Mestonnaux","Monranguin","絲・尼嘉","恩・拉碧艾","Tia","Dinhe","羅赫・阿","羅赫","Jinjahl","","","","","","","","凡瑪伽","Guldhaemrsyn","瓦爾德維布","Guldhaemrwyn","雷吉","Thunder","Daisy","陽明","八千代","Miyumi","恰克納兒","赤日娜","","德拉戈米爾","","杜贊","","克蕾妮絲","",""
61,"勞倫斯","伊瑪尼亞","Mercer","哈里伯特","海琳達","Ryder","利多瓦雷","尼維","Miraudont","Montenbelt","恩・尼嘉","烏・扎恩格","Tia","Fijah","羅赫・爾","吉婭","Polaali","","","","","","","","瓦斯特雷德","Hollkoensyn","沃爾克維布","Hollkoenwyn","珀伊珍","Rain","Tulip","雷電","彌生","Yuzuka","秋格帖","丘塔","","帕瓦奧","","弗拉丹","","德布羅伊","",""
62,"勞倫修斯","喬西亞","Miller","哈裡沃爾德","海莉森特","Savage","利奧內","諾阿勒","Muraudel","Montorgains","西・黎因","雅・柯奈布","Tia","Ginwa","納格・利","娜格","Maimhov","","","","","","","","維布羅特","Hollmyrgansyn","伍爾特維布","Hollmyrganwyn","懷特","Snow","Flower","落葉","雪","Yumite","丘麻幹","丘檀","","卡切克","","科斯謝伊","","多妮","",""
63,"羅德維克","莉娜","Moore","海伊德爾夫","哈麗芙","Skinner","路易斯蒂奧","諾莉娜","Narmandais","Nillefrant","奇・黎因","佩・迪羅格","Tia","Hiqoh","納格・拉","娜修","Lyehga","","","","","","","","威爾特維克","Pfarskratsyn","贊特維布","Pfarskratwyn","雷德","Hammer","Acorn","羅生","夜櫻","Rokuyari","赤勒坤","丘托塔","","托米斯加","","拉基斯加","","埃雷米婭","",""
64,"麥迪遜","琳妮薇","Morning","海伊馬特","海爾梅森特","Souther","呂多佛蘭","諾蕾絲","Nellemond","Noirterel","烏・米圖","佩・達密亞","Tia","Jinh","納格・雅","約姆","Kaatapoh","","","","","","","","米特納克特","Sundwilfsyn","艾爾姆維布","Sundwilfwyn","布魯","Helm","Plain","嵐雪","夜見","Daitou","赤兒庫","達加思","","拉迪米爾","","茲拉托米爾","","菲多娜","",""
65,"曼佛羅依","梅朵爾","Newton","海爾弗里克","希爾德拉娜","Speare","呂凱洛","奧德烏","Nogeloix","Norbertillon","絲・米圖","赫・莫羅茜","Tia","Khilo","皮茉・阿","皮茉","Khamazom","","","","","","","","烏恩特希爾","Ostyrwilfsyn","艾爾格維布","Ostyrwilfwyn","耶婁","Shield","Rafflesia","稜線","和香","Tatewaki","赤兒革","朵庫茲","","拉祖姆尼克","","弗拉基米爾","","格琳塔","",""
66,"瑪斯","梅蕾維娜","Nolan","海爾姆哈特","阿伊茲維芙","Stark","馬爾塞盧瓦","奧蒂莉","Norbettaux","Notrelchamps","瓦・林哈","伊・迪奈克","Tia","Lizha","皮茉・托","玖茲","Panipahr","","","","","","","","德瑞斯納古爾","Loetwilfsyn","貝爾克維布","Loetwilfwyn","斯蒂爾","Axe","Ivy","麟凰","塔花","Hagane","赤勒都","朵伊","","梅龍","","諾瓦克","","哈蒂雅","",""
67,"莫丁","愛蕾爾","North","海梅特","伊馬妮艾","Starr","馬克凱洛爾","翁布莉娜","Noudenet","Orchambaut","艾・林哈","爾・阿德布","Tia","Mitnu","納奧・阿","娜奧","Moshroca","","","","","","","","愛因特魯古","Kindlaentsyn","布拉特維布","Kindlaentwyn","伊戈爾","Mythril","Blossom","飯綱","畔菜","Bugai","查嘎台","也吉","","布拉尼米爾","","韋利米爾","","朱莉塔","",""
68,"摩甘特","艾絲琳","Oswell","艾爾內伊斯","阿梅爾","Steele","馬里於斯泰爾","昂蒂娜","Oirellain","Ormesang","伊・林赫恩","爾・納畢雅諾","Tia","Nitsah","納奧・利","瓊恩","Garanjy","","","","","","","","福爾扎吉爾","Hirskhwabsyn","布瑞恩維布","Hirskhwabwyn","迪普","Copper","Thorn","","","Gunji","答里巴","也克","","維塞斯加","","斯坦尼米爾","","琪娜拉","",""
69,"摩律斯","阿琳","Piper","古恩特馬爾","拉薇娜","Sternn","馬魯瓦勒","奧菲麗","Orselfaux","Ortefauchel","赫・林赫恩","芙・瓦羅恩","Tia","Oimeh","納奧・拉","蘿艾","Jawantal","","","","","","","","古雷因塗姆","Syvinsnoesyn","杜斯維布","Syvinsnoewyn","畢特爾","Iron","Daughter","","","Abumi","特勒孛哥","也末真","","布龍迪","","切斯加","","庫克拉","",""
70,"納瓦拉","西艾娜","Poole","古恩德巴爾德","琉金","Stone","馬蒂亞萊","奧菲安娜","Ouraux","Ostoiraint","卡・施塔","古・因塔娜","Tia","Pinha","雷拉・阿","蕾拉","Lihzeh","","","","","","","","格林瓦希特","Wastmyndsyn","菲特維布","Wastmyndwyn","喬伊爾斯","Mountain","Bride","","","Kabuto","土爾東","歌兒該","","博然","","斯塔斯","","拉謝勒","",""
71,"諾埃斯","卡埃拉","Potter","蓋爾維辛","莉芙恩","Thorne","莫雷蘭","奧莉亞娜","Padilloux","Outreguerlain","克・施塔","克・帕恩德爾","Tia","Rihll","雷拉・托","德約","Mujuuk","","","","","","","","古爾德維茲","Wastgreinsyn","菲達爾隆納","Wastgreinwyn","傑勒斯","Stone","Veil","","","Oshiga","道爾貝","革阿","","米拉丁","","斯維亞托戈爾","","拉杜妮雅","",""
72,"奧利弗","迪德拉","Reed","蓋弗哈德","莉塞","Walder","馬克西米盧瓦","佩瑟勒","Pamisolaux","Parsemontret","恩・斌巴","奧・達納恩","Tia","Sthah","雷拉・利","科姆","Jaab","","","","","","","","海爾布修緹恩","Wastbyrtsyn","福魯斯克隆納","Wastbyrtwyn","阿登特","Boulder","Bridle","","","Ittetsu","巴夫該","高娃","","澤米爾","","博策克","","斯瑞希","",""
73,"奧利西克","艾阿拉","Rich","吉賽爾伯達斯","馬緹爾德","Vance","納坦","佩琳娜","Paulecrain","Pasdevillet","梅・斌巴","梅・斯恩布拉","Tia","Thish","戴比・利","黛比","Tayuun","","","","","","","","伊恩沃爾德","Bloedornnsyn","福魯特隆納","Bloedornnwyn","奧本","Spire","Feather","","","Iteya","巴圖","呼也侖","","波格丹","","弗塞沃洛德","","洛裡萊","",""
74,"奧裡克","艾阿凡","Rose","蓋爾弗拉達斯","梅海妮爾達","Vann","諾拉內爾","佩爾娜","Pelderain","Pierriquet","烏・維洛","佩・茶克赫","Tia","Shikhu","戴比・雅","奈莫","Bajhiri","","","","","","","","柯坦拉姆","Bloelaksyn","吉貝特隆納","Bloelakwyn","阿福","Hill","Moon","","","Kiba","拜答兒","呼札烏爾","","佩塔爾","","布萊茲","","茉蒂","",""
75,"奧爾溫","艾達琳","Sadler","蓋爾塔","密拉","Weard","奧克塔韋爾","皮耶娜","Prairillot","Portelaine","古・維洛","維・阿琳貝","Tia","Vimba","奇納・阿","奇娜","Zhwan","","","","","","","","克瑞斯特利姆","Bloegaezsyn","柯斯特隆納","Bloegaezwyn","賽德","Mesa","Star","","","Mihata","拜都兒","哈敦","","克爾斯托","","蒂洛","","姆婭","",""
76,"奧斯里克","愛伊利斯","Sawyer","蓋伊羅瓦爾德","奧德布爾嘉","Warren","奧爾達裡克","蕾內特","Primerain","Quemperlain","奧・津巴","瓦・雅恩荻","Tia","Wiloh","奇納・托","茨布","Molkoh","","","","","","","","米特米爾剛","Guoljarrsyn","庫雷特隆納","Guoljarrwyn","斯濤沃特","Ravine","Heaven","","","Meiken","巴加裡台","火爾赤","","沃因","","達萊克","","拉希妮","",""
77,"拉夫","芬內拉","Shepard","弗里德伯特","奧迪拉","Wayne","奧斯卡萊","里維恩娜","Priorfaix","Quimperin","碧・津巴","梅・特裡姆納","Tia","Yhisa","奇納・拉","約赫","Mewrilah","","","","","","","","紐恩克雷普夫","Loezkhansyn","奇厄斯隆納","Loezkhanwyn","捷勒斯","Gorge","Dawn","","","Yatsurugi","巴塔查只幹","呼闌","","伊澤特","","澤利米爾","","塔拉妮絲","",""
78,"羅浮","菲阿庫拉","Slater","法拉蒙德","奧蕾拉","Weekes","帕爾塞梅爾","勒埃爾","Quemilien","Robairlaint","阿・努洛","德・奧恩德羅","Tia","Zinbhe","戴特・利","黛特","Rabntah","","","","","","","","菲姆博爾古","Lyngmholsyn","瑪斯隆納","Lyngmholwyn","索利德","Glacier","Dusk","","","Kensaki","巴塔赤罕","科克","","米羅斯加","","德拉贊","","維爾瑪","",""
79,"羅林","菲因內亞","Smith","阿梅恩奧爾德","奧莉爾迪絲","West","帕斯卡耶雷","索蕾特","Quiloud","Rochedalaix","德・努洛","佩・菲洛","Tia","Jhida","賽達・阿","賽達","Wahcondalo","","","","","","","","利斯緹爾","Lyngroegansyn","穆格雷爾","Lyngroeganwyn","斯特萊登特","Forest","Eve","","","Kogane","巴亞爾","麻拉勒","","博日達爾","","米卡茨","","茵澤爾","",""
80,"里巴爾德","格麗妮絲","Southway","艾爾諾爾德","奧特吉瓦","Wynter","波勒蒙","塞蕾恩","Rainteau","Roiteloint","雅・蘇布","奧・波拉芙","Tia","Nulah","賽達・利","帕瓦","Jomalah","","","","","","","","塞斯布羅達","Lyngwintsyn","納克特雷爾","Lyngwintwyn","奇恩","Desert","Comet","","","Kurogane","巴彥","末兒真","","斯捷潘","","拉迪戈斯特","","澤爾菲","",""
81,"里卡德","伊安娜","Spence","阿諾爾夫","奧伊德拉","Woode","佩瑟凡","索菲娜","Raitmeaux","Rontremont","喬・蘇布","烏・卡瓦烏","Tia","Bhudi","歐夏・利","歐夏","Relanah","","","","","","","","斯塔爾瑞特","Wintwyrnsyn","利斯雷爾","Wintwyrnwyn","布萊特","Volcano","Jewel","","","Shirogane","巴爾丹","彌德","","亞羅斯加","","米盧廷","","","",""
82,"里克曼","凱埃拉","Stark","艾德爾斯坦","拉德莉亞","Wyght","雷蒙多","索蕾勒","Rillemont","Roustebant","伊・庫奧恩","瓦・凱帕嘉","Tia","Vhuh","歐夏・托","帕佳","Akhabila","","","","","","","","西爾布維茲","Wintbrotsyn","斯凱恩雷爾","Wintbrotwyn","勞斯特","Geyser","Gem","","","Aogane","矛赤","妮真","","普雷本","","科採利","","","",""
83,"勞力士","姬迪","Tanner","貝爾維爾夫","蕾加娜","Wyman","羅馬里克","索菲亞娜","Roulemet","Saintrelmaux","恩・庫奧恩","維・多雅嘉","Tia","Lhuil","歐夏・其","穆吉","Awandah","","","","","","","","西文伯恩","Wintfohcsyn","斯威古雷爾","Wintfohcwyn","勒古布瑞斯","Island","Cloud","","","Akagane","麻卡裡","窩忽兒","","博爾納","","庫林","","","",""
84,"羅賓","凱夏","Walker","貝緹恩","蕾茵嘉特","Wynne","席爾瓦勒","塔妮娜","Saistenioux","Sarmantoix","茶・柯特","喬・吉美","Tia","Quohn","歐夏・坦","塔吉","Anbolho","","","","","","","","瓦斯比爾姆","Ernafolgsyn","西茲恩雷爾","Ernafolgwyn","道烏爾","Jungle","Light","","","","麻思古德","窩古兒","","西尼薩","","布羅尼斯加","","","",""
85,"羅傑","梅芙","Ward","貝林哈爾德","琳伊爾達","Reed","松布雷坎","泰西","Silmontaix","Sellecerre","烏・柯特","卡・佳瓦娜","Tia","Tohka","拉拉・托","菈菈","Betwanhe","","","","","","","","吉恩貝爾克","Ernahaemrsyn","維步雷爾","Ernahaemrwyn","諾森","Grotto","Dream","","","","蒙裡克","窩奇","","佐蘭","","盧博米爾","","","",""
86,"羅斯","米拉","Weild","巴尼爾","羅海伊莎","Hayle","斯特凡諾","蒂法娜","Solainteau","Soilanteaux","赫・祖拉","瓦・札姆科","Tia","Rhowa","珂爾・阿","珂爾","Binbotaj","","","","","","","","艾斯比爾","Grymgaezsyn","韋爾夫碧達","Grymgaezwyn","薩森","Steel","Glass","","","","呼沙兒","窩兒哈娜","","盧托米斯","","阿迪斯","","","",""
87,"朗德爾夫","梅里埃爾","West","貝羅阿爾德","羅莎琳德","Speake","西爾弗雷","特裡娜","Surlaint","Teaurelin","芙・祖拉","烏・洛約德","Tia","Cott","珂爾・利","米伊","Burwani","","","","","","","","艾斯特拉哈","Grymkoelsyn","吉恩碧達","Grymkoelwyn","維斯特恩","Oak","Goddess","","","","伯卡泰","卡敦","","戈裡尼亞","","伊萬尼斯","","","",""
88,"洛蘭德","紐拉","White","貝羅爾德","羅伊莎","Crofte","泰奧巴蘭","特裡塞勒","Terremiaux","Terrechant","嘉・宇赫","西・特莉格","Tia","Muhih","珂爾・賽","哈絲","Dolabnha","","","","","","","","費茲吉姆","Gyrmoensyn","阿爾碧達","Gyrmoenwyn","伊斯特恩","Elm","Sky","","","","伯契台","闊亞兒","","尼諾斯加","","塔尼克斯","","","",""
89,"萊查德","希里斯","Winsome","貝爾塔爾","塞莉","Lance","特奧菲蘭","於勒瓦娜","Thievenaix","Thierremont","絲・宇赫","西・托爾妲","Tia","Xhula","芭茨・阿","芭茨","Dakwhil","","","","","","","","伊恩布羅達","Saesraensyn","安卡碧達","Saesraenwyn","厄利","Walnut","Heaven","","","","伯古努帖","沙木加","","阿斯米爾","","博萊克","","","",""
90,"薩姆森","蒂芙","Witte","阿烏多因","希格博塔","Redwyne","特魯阿納","於爾西耶勒","Tirauland","Torsefers","阿・果爾","阿・凱碧卡","Tia","Runja","奇伊・托","奇伊","Entialpoh","","","","","","","","古雷因博爾古","Kroemkhezlsyn","巴爾德碧達","Kroemkhezlwyn","雷特","Stump","Ghost","","","","伯吉兒","斯琴","","塞德達","","茨韋特科","","","",""
91,"桑德雷","阿格尼絲","Yaeger","奧特加爾","莎伊艾勒","Blackthorne","蒂埃戈","維亞娜","Tourcenet","Tristechambel","碧・果爾","梅・登茉","Tia","Ghuh","奇伊・賽","布卡","Elakha","","","","","","","","斯沃茲拉姆","Hyrtfyrsyn","蓋姆碧達","Hyrtfyrwyn","瓦裡恩特","Sentinel","Laurel","","","","伯哲哥","沙兒","","拉蒂博爾","","博爾施","","","",""
92,"西古爾德","阿蓮奈","Yar","阿維里特","緹拉","Blackstone","於爾敘蘭","薇艾爾","Travanchet","Uchemantoin","西・茶伊","伊・札贊","Tia","Dhol","奇伊・沃","蒙恩","Fashonti","","","","","","","","Xxxxxxx","Hyrtberasyn","Xxxxxxx","Hyrtberawyn","諾博","Pine","Diamond","","","","伯察蘭","速夫德","","米哈洛","","普裡比娜","","","",""
93,"西蒙德","阿米莉亞","Yarborough","安茲海爾姆","烏達","Greywolfe","瓦朗蒂努瓦","雅埃勒","Urleaux","Urselmert","伊・茶伊","黎・米嘉茲","Tia","Fhuz","哈舞・利","哈舞","Ganajai","","","","","","","","Xxxxxxx","Floeransasyn","Xxxxxxx","Floeransawyn","普勞德","Fir","Emerald","","","","伯德哲","帖木侖","","","","埃邁裡克","","","",""
94,"坦普爾頓","安費莉絲","Weaver","安索伯特","烏伊蕾達","Greywoode","瓦勒蘭","伊黛娜","Usurlois","Vaincannet","爾・艾托","奧・柯爾貝","Tia","Jutah","雷伊・托","娜伊","Lanbatal","","","","","","","","Xxxxxxx","Ansamhasyn","Xxxxxxx","Ansamhawyn","格勞瑞斯","Cactus","Sapphire","","","","布彥圖","托雷真妮","","","","卡齊米爾","","","",""
95,"瓦訥","安格萊特","Webb","阿爾凱威烏斯","烏爾嘉爾達","Greyashe","瓦爾特蒙","伊勒瓦絲","Valeriant","Vainchelon","嘉・艾托","茶・沛嘉","Tia","Aboh","雷伊・阿","蕾伊","Moshantu","","","","","","","","Xxxxxxx","Nyunmerlsyn","Xxxxxxx","Nyunmerlwyn","奧諾熱博","Tree","Ruby","","","","布卡答兒","岑薩兒","","","","特皮米爾","","","",""
96,"維斯","安娜","Wells","阿凱姆巴爾德","薇蕾達","Westmoore","旺特爾姆","約恩娜","Valtin","Vairemont","伊・達提","絲・霍茲恰","Tia","Batih","雷伊・利","瑪舞","Chelewae","","","","","","","","Xxxxxxx","Rhutirammsyn","Xxxxxxx","Rhutirammwyn","布若肯","Sword","Amber","","","","布魯幹","圖拉齊娜","","","","博拉斯","","","",""
97,"文森特","阿弗麗爾","Wheeler","阿奇姆巴爾特","維爾博嘉","Westknight","維利貝爾","約萊娜","Voilinaut","Valeroyant","艾・達提","佩・拉穆伊","Nunh","Qhulu","萊伊・阿","萊伊","Wolndara","","","","","","","","Xxxxxxx","Rhotsatzasyn","Xxxxxxx","Rhotsatzawyn","莊肯","Tomb","Pearl","","","","布特丘","烏金","","","","","","","",""
98,"威廉姆斯","艾蕾絲","Wright","阿雷恩瓦爾德","維爾梅塔","Frostwyght","亞尼斯唐","伊絲特里德","Vremaix","Vilauclaire","喬・莫納","佩・塔嘉","Nunh","Monhi","萊伊・利","諾吉","Wilzuun","","","","","","","","Xxxxxxx","Ghutsaldsyn","Xxxxxxx","Ghutsaldwyn","布瑞珍","Shadow","Smile","","","","布特革","烏蘭","","","","","","","",""
99,"維恩伯格","卡門","Young","安塞羅特","米露達","Redsteele","伊夫隆","扎碧妮","Xavalien","Vortefaurt","卡・莫納","嘉・瑪嘉","Nunh","Tyanu","吉利・阿","吉莉","Quowaital","","","","","","","","","","","","艾博爾","Bone","Wool","","","","孛古哥帖","","","","","","","","",""
